id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,84784.0,1682894046458,1,1682894046458,30980293786.0,85315.0,83197.0,259.41,0.3069,4833008560.0,0.28801,19851028.0,19851028.0,21000000.0,108786.0,-21.94478,2025-01-20T09:11:54.494Z,67.81,125123.4657,2013-07-06T00:00:00.000Z,,2025-04-14T05:12:21.204Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,1637.14,197550427495,2,197550427495,14766557025.0,1642.87,1574.11,32.61,2.03254,3833081780.0,1.9787,120690639.4209498,120690639.4209498,,4878.26,-66.43358,2021-11-10T14:24:19.604Z,0.432979,378084.15867,2015-10-20T00:00:00.000Z,"{'times': 24.828036991215043, 'currency': 'btc', 'percentage': 2482.8036991215045}",2025-04-14T05:12:21.846Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999726,144304215592,3,144304215592,52387806100.0,0.999906,0.999602,-5.9807567535652e-05,-0.00598,-53778217.67166138,-0.03725,144343504474.9362,144343504474.9362,,1.32,-24.44338,2018-07-24T00:00:00.000Z,0.572521,74.61125,2015-03-02T00:00:00.000Z,,2025-04-14T05:12:22.210Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.15,125496202666,4,215089043418,3747531804.0,2.23,2.09,0.01277289,0.59729,1016924449.0,0.81694,58338141684.0,99986253154.0,100000000000.0,3.4,-36.61149,2018-01-07T00:00:00.000Z,0.00268621,80095.87398,2014-05-22T00:00:00.000Z,,2025-04-14T05:12:20.667Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,589.74,86030877154,5,86030877154,530103988.0,593.62,581.39,-1.994571962125633,-0.33707,-400201876.9962921,-0.46303,145887575.79,145887575.79,200000000.0,788.84,-25.23687,2024-12-04T10:35:25.220Z,0.0398177,1481060.97008,2017-10-19T00:00:00.000Z,,2025-04-14T05:12:23.254Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,133.83,69038309735,6,80052941647,4788697421.0,134.29,125.8,3.84,2.95155,1778413117.0,2.64409,516091511.123177,598430694.2460307,,293.31,-54.38002,2025-01-19T11:15:27.957Z,0.500801,26618.95941,2020-05-11T19:35:23.449Z,,2025-04-14T05:12:20.586Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999896,60045735396,7,60055271505,8260931619.0,1.0,0.999887,-6.9587495425516e-05,-0.00696,-34611050.00666809,-0.05761,60051050573.42043,60060587526.50102,,1.17,-14.73594,2019-05-08T00:40:28.300Z,0.877647,13.92932,2023-03-11T08:02:13.981Z,,2025-04-14T05:12:20.800Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.167506,24922611271,8,24928263673,977615184.0,0.168063,0.161625,0.00297811,1.8101,434208925.0,1.77312,148810736383.7052,148844486383.7052,,0.731578,-77.10194,2021-05-08T05:08:23.458Z,8.69e-05,192661.76991,2015-05-06T00:00:00.000Z,,2025-04-14T05:12:19.863Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.256196,24319037362,9,24319182723,921757797.0,0.258577,0.245963,0.00930796,3.77011,858508431.0,3.65937,94961743434.59427,94962311045.3228,,0.431288,-40.62119,2024-12-04T00:10:40.323Z,0.00180434,14093.20456,2017-11-12T00:00:00.000Z,"{'times': 133.83992925570473, 'currency': 'usd', 'percentage': 13383.992925570474}",2025-04-14T05:12:20.823Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.651474,23453709533,10,29314149578,688655821.0,0.662051,0.63242,0.00867616,1.34975,246258312.0,1.06112,36003668678.58559,45000000000.0,45000000000.0,3.09,-78.89712,2021-09-02T06:00:10.474Z,0.01925275,3283.554,2020-03-13T02:22:55.044Z,,2025-04-14T05:12:22.112Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,1635.91,15222211943,11,15222211943,22522332.0,1641.26,1573.03,36.58,2.28698,215866551.0,1.4385,9308388.211885203,9308388.211885203,,4829.57,-66.12982,2021-11-10T14:40:47.256Z,482.9,238.74443,2020-12-22T04:08:21.854Z,,2025-04-14T05:12:21.890Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,84640.0,10929664970,12,10929664970,446674109.0,85388.0,83175.0,210.65,0.2495,27417583.0,0.25149,128915.05657878,128915.05657878,128915.05657878,108368.0,-21.79273,2025-01-20T07:16:27.137Z,3139.17,2599.80484,2019-04-02T00:00:00.000Z,,2025-04-14T05:12:20.766Z
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,9.38,8669392815,13,9246983804,3605049.0,9.44,9.3,0.02134152,0.22793,20014256.0,0.2314,923698846.9,985239504.0,,10.14,-7.5372,2025-03-10T09:26:43.294Z,0.799859,1071.60696,2019-12-24T15:14:35.376Z,,2025-04-14T05:12:19.365Z
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,20.21,8403988871,14,9145047135,317092597.0,20.44,19.42,0.183864,0.91825,43275208.0,0.5176,415850675.390019,452520117.0388632,720000000.0,144.96,-86.05847,2021-11-21T14:18:56.538Z,2.8,621.50449,2020-12-31T13:15:21.540Z,,2025-04-14T05:12:19.924Z
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,12.85,8207218446,15,12861963349,417024480.0,13.16,12.48,-0.061699701622444536,-0.47798,-45474370.241004944,-0.55102,638099971.4505637,1000000000.0,1000000000.0,52.7,-75.58256,2021-05-10T00:13:57.214Z,0.148183,8583.27899,2017-11-29T00:00:00.000Z,,2025-04-14T05:12:19.980Z
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.243137,7495686781,16,12155918982,179348861.0,0.251259,0.235287,0.00112469,0.46472,33108532.0,0.44366,30832529699.70027,50001786892.81792,50001786892.81792,0.875563,-72.25061,2018-01-03T00:00:00.000Z,0.00047612,50929.49775,2015-03-05T00:00:00.000Z,,2025-04-14T05:12:21.146Z
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,2.28,7414936331,17,22815308752,1028529190.0,2.36,2.21,-0.06232789124447047,-2.66063,-244611558.41075802,-3.19355,3249982900.458887,10000000000.0,10000000000.0,5.35,-57.29486,2025-01-04T22:56:18.063Z,0.364846,525.81391,2023-10-19T10:40:30.078Z,,2025-04-14T05:12:21.117Z
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,1.235e-05,7279941142,18,7283079759,158247978.0,1.242e-05,1.197e-05,1.8098e-08,0.14672,3740995.0,0.05141,589250538391842.6,589504583247212.4,,8.616e-05,-85.65728,2021-10-28T03:54:55.568Z,5.6366e-11,21923457.79897,2020-11-28T11:26:25.838Z,,2025-04-14T05:12:21.121Z
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.17046,7215597048,19,8543485029,240016983.0,0.174882,0.164006,-0.001190929822102338,-0.69381,-63494831.86518669,-0.87229,42228651561.77511,50000000000.0,50000000000.0,0.569229,-70.00998,2021-09-15T10:40:28.318Z,0.00986111,1631.16252,2020-01-02T17:30:24.852Z,,2025-04-14T05:12:19.636Z
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,0.999733,7121623845,20,7121623845,10594495.0,1.0,0.999371,-0.000294257572746592,-0.02942,-38736111.15005875,-0.54098,7122061584.61605,7122061584.61605,,1.057,-5.43213,2024-10-29T05:40:51.197Z,0.948265,5.44383,2024-10-03T13:19:28.826Z,,2025-04-14T05:12:20.047Z
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,2.85,7069336187,21,14620948443,199689216.0,2.93,2.81,-0.04260528127087726,-1.47449,-83738627.21097565,-1.17067,2479022862.629297,5127166752.530803,,8.25,-65.43384,2024-06-15T00:36:51.509Z,0.519364,449.31729,2021-09-21T00:33:11.092Z,,2025-04-14T05:12:20.784Z
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,1965.49,6991114874,22,6991114874,16382985.0,1970.2,1885.17,32.31,1.67148,95789494.0,1.38919,3559575.48551105,3559575.48551105,,7256.02,-72.93253,2022-05-13T15:09:54.509Z,558.54,251.63481,2022-05-13T01:36:45.053Z,,2025-04-14T05:12:19.286Z
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,348.89,6927880536,23,6927880536,289471932.0,367.86,336.32,12.57,3.7383,242656948.0,3.62975,19855968.64665078,19855968.64665078,21000000.0,3785.82,-90.73264,2017-12-20T00:00:00.000Z,76.93,356.02984,2018-12-16T00:00:00.000Z,,2025-04-14T05:12:21.190Z
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,79.2,5998358698,24,5998425517,353077389.0,79.91,77.04,1.82,2.34696,123817402.0,2.10769,75743401.98347135,75744245.73347135,84000000.0,410.26,-80.6473,2021-05-10T03:13:07.904Z,1.15,6810.98721,2015-01-14T00:00:00.000Z,,2025-04-14T05:12:20.832Z
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,3.72,5662337599,25,5662337599,182780585.0,3.8,3.62,0.074333,2.03828,100394434.0,1.80502,1522267060.0,1522267060.0,,54.98,-93.23708,2021-11-04T14:10:09.301Z,2.7,37.84518,2020-08-20T05:48:11.359Z,,2025-04-14T05:12:20.217Z
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,15.95,5341178919,26,15994839358,148135081.0,16.43,15.02,-0.16536723125983954,-1.02627,-25829234.05541134,-0.48126,333928180.0,999990391.0,1000000000.0,34.96,-54.33473,2024-12-22T03:56:00.276Z,3.81,319.14824,2024-11-29T09:30:30.871Z,,2025-04-14T05:12:20.464Z
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35021/large/USDT.png?1707233575,1.0,5183955988,27,5183955988,270878245.0,1.007,0.995709,-0.001391206920636545,-0.13886,646529.0,0.01247,5184994200.618545,5184994200.618545,,1.05,-4.83017,2024-08-05T14:21:42.527Z,0.942186,6.05616,2024-12-05T22:30:39.827Z,,2025-04-14T05:12:20.759Z
bitget-token,bgb,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/Bitget_logo.png?1736925727,4.31,5158843896,28,5158843896,104834369.0,4.4,4.26,-0.07862563181617954,-1.79335,-114005587.33598995,-2.16212,1199999994.2,1199999994.2,2000000000.0,8.45,-49.1167,2024-12-27T11:41:24.992Z,0.0142795,30011.71811,2020-06-25T04:17:05.895Z,,2025-04-14T05:12:19.026Z
pi-network,pi,Pi Network,https://coin-images.coingecko.com/coins/images/54342/large/pi_network.jpg?1739347576,0.752209,5150904853,29,7924469004,324923940.0,0.774897,0.714536,0.01888109,2.57471,71790744.0,1.41345,6860313629.744808,10554328661.14585,100000000000.0,2.99,-74.87269,2025-02-26T16:41:03.732Z,0.406999,84.44924,2025-04-05T04:50:37.033Z,,2025-04-14T05:12:19.564Z
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,0.998475,4985752004,30,4985752004,72530667.0,1.0,0.997234,-0.00050972471008337,-0.05102,-19468560.734992027,-0.38897,4991785729.908327,4991785729.908327,,1.032,-3.22935,2023-12-20T15:38:34.596Z,0.929486,7.45213,2024-10-04T07:57:15.809Z,,2025-04-14T05:12:20.034Z
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,1640.22,4539551888,31,4539551888,166989218.0,1653.98,1576.21,27.37,1.69717,54930041.0,1.22485,2767677.614285932,2767677.614285932,,4799.89,-65.82281,2021-11-09T00:00:00.000Z,82.1,1898.05153,2018-12-15T00:00:00.000Z,,2025-04-14T05:12:20.140Z
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,27.85,4011276333,32,9118428682,24691983.0,27.89,27.66,0.118635,0.42777,17189076.0,0.43036,144118517.10815412,327610045.0,400000000.0,31.28,-11.00375,2025-03-02T22:22:36.852Z,3.06,809.10378,2023-02-13T19:01:21.899Z,,2025-04-14T05:12:19.583Z
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,206.76,3813708969,33,3813708969,48897573.0,209.94,201.47,-2.947283135221994,-1.40542,-54709981.292841434,-1.41427,18446744.07370955,18446744.07370955,,542.33,-61.97109,2018-01-09T00:00:00.000Z,0.216177,95303.66489,2015-01-14T00:00:00.000Z,,2025-04-14T05:12:19.702Z
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,1742.52,3642592051,34,3642592051,7023973.0,1754.44,1669.44,30.72,1.79479,57875909.0,1.61452,2087124.375322436,2087124.375322436,,4311.81,-59.52349,2024-12-06T20:32:25.758Z,1505.24,15.94671,2025-04-09T03:45:31.391Z,,2025-04-14T05:12:19.420Z
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,5.49,3291537349,35,5481482316,143301593.0,5.52,5.29,0.124887,2.32852,64500401.0,1.99875,600483073.71,1000000000.0,1000000000.0,44.92,-87.77128,2021-05-03T05:25:04.822Z,1.03,433.20335,2020-09-17T01:20:38.214Z,,2025-04-14T05:12:21.178Z
pepe,pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,7.61e-06,3199792869,36,3199792869,711548551.0,7.66e-06,7.13e-06,3.32248e-07,4.56754,137988619.0,4.50677,420690000000000.0,420690000000000.0,420690000000000.0,2.803e-05,-72.81979,2024-12-09T16:30:35.828Z,5.5142e-08,13715.36153,2023-04-18T02:14:41.591Z,,2025-04-14T05:12:19.880Z
okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,53.11,3180985517,37,12509632993,9672245.0,54.52,52.85,-1.3686488570129711,-2.51246,-91020950.05509758,-2.78181,60000000.0,235957685.3,300000000.0,73.8,-28.13652,2024-03-14T00:30:12.502Z,0.580608,9034.847,2019-01-14T00:00:00.000Z,,2025-04-14T05:12:19.428Z
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,1.0,3143163693,38,3143163693,85717660.0,1.001,0.99948,0.0004272,0.04272,2354202.0,0.07496,3141992514.665207,3141992514.665207,,1.22,-17.92243,2020-03-13T03:02:50.373Z,0.88196,13.43697,2023-03-11T07:50:50.514Z,,2025-04-14T05:12:19.684Z
