id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,103517.0,2056133462074,1,2056133462074,21535053212.0,103938.0,102526.0,412.26,0.39985,7377728833.0,0.36011,19862865.0,19862865.0,21000000.0,108786.0,-4.8074,2025-01-20T09:11:54.494Z,67.81,152616.85652,2013-07-06T00:00:00.000Z,,2025-05-10T15:12:56.966Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2432.62,293692123849,2,293692123849,24948878809.0,2438.41,2288.24,116.47,5.02856,14323235544.0,5.127,120730634.904489,120730634.904489,,4878.26,-50.05896,2021-11-10T14:24:19.604Z,0.432979,562572.79018,2015-10-20T00:00:00.000Z,"{'times': 30.43463216887384, 'currency': 'btc', 'percentage': 3043.463216887384}",2025-05-10T15:12:57.162Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,149753427010,3,149753427010,57731724567.0,1.0,0.999914,0.00020701,0.0207,19075236.0,0.01274,149733756681.2742,149733756681.2742,,1.32,-24.4106,2018-07-24T00:00:00.000Z,0.572521,74.68701,2015-03-02T00:00:00.000Z,,2025-05-10T15:12:59.152Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.41,141020317064,4,240819294370,3740713528.0,2.42,2.33,0.052414,2.22463,3045670397.0,2.20741,58550454873.0,99986154627.0,100000000000.0,3.4,-29.08367,2018-01-07T00:00:00.000Z,0.00268621,89619.68213,2014-05-22T00:00:00.000Z,,2025-05-10T15:12:56.706Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,651.26,95052126350,5,95052126350,1690482999.0,674.3,632.1,15.85,2.49517,2537139450.0,2.74241,145887575.79,145887575.79,200000000.0,788.84,-17.35933,2024-12-04T10:35:25.220Z,0.0398177,1637125.96479,2017-10-19T00:00:00.000Z,,2025-05-10T15:12:56.658Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,171.57,89048437240,6,103004215756,4783995629.0,174.51,169.18,1.82,1.06941,1227783009.0,1.39806,519014697.5407771,600355307.099189,,293.31,-41.50134,2025-01-19T11:15:27.957Z,0.500801,34161.81445,2020-05-11T19:35:23.449Z,,2025-05-10T15:12:59.302Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999953,60757585057,7,60766474876,12590001606.0,1.0,0.9999,4.037e-05,0.00404,132278405.0,0.21819,60760561787.7307,60769452042.40985,,1.17,-14.73113,2019-05-08T00:40:28.300Z,0.877647,13.93575,2023-03-11T08:02:13.981Z,,2025-05-10T15:12:57.401Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.227527,33945836414,8,33948393825,2642371785.0,0.229497,0.201851,0.023582,11.56292,3522355796.0,11.57775,149194276383.7052,149205516383.7052,,0.731578,-68.86282,2021-05-08T05:08:23.458Z,8.69e-05,262020.73858,2015-05-06T00:00:00.000Z,,2025-05-10T15:12:56.747Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.805822,29073971242,9,36293038583,1116120585.0,0.810656,0.773533,0.02177306,2.777,845351336.0,2.99466,36049026396.71529,45000000000.0,45000000000.0,3.09,-73.83082,2021-09-02T06:00:10.474Z,0.01925275,4095.86592,2020-03-13T02:22:55.044Z,,2025-05-10T15:12:56.889Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.259656,24647522363,10,24647553357,1163275673.0,0.264761,0.259371,-0.002984726281785144,-1.13643,-281535103.2036438,-1.12935,94910348562.86697,94910467913.88396,,0.431288,-39.73616,2024-12-04T00:10:40.323Z,0.00180434,14304.75073,2017-11-12T00:00:00.000Z,"{'times': 135.661177444842, 'currency': 'usd', 'percentage': 13566.1177444842}",2025-05-10T15:12:56.730Z
