id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,103522.0,2056313601780,1,2056313601780,21532459444.0,103938.0,102526.0,417.25,0.40468,7460265513.0,0.36412,19862865.0,19862865.0,21000000.0,108786.0,-4.8074,2025-01-20T09:11:54.494Z,67.81,152616.85652,2013-07-06T00:00:00.000Z,,2025-05-10T15:11:48.440Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2433.7,293879570823,2,293879570823,24830132794.0,2438.41,2288.24,117.54,5.07496,15061517559.0,5.40192,120730634.904489,120730634.904489,,4878.26,-50.05896,2021-11-10T14:24:19.604Z,0.432979,562572.79018,2015-10-20T00:00:00.000Z,"{'times': 30.438955787371686, 'currency': 'btc', 'percentage': 3043.8955787371688}",2025-05-10T15:11:48.075Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,149752593006,3,149752593006,53401855358.0,1.0,0.999914,0.00020331,0.02033,16060856.0,0.01073,149733756681.2742,149733756681.2742,,1.32,-24.4106,2018-07-24T00:00:00.000Z,0.572521,74.68701,2015-03-02T00:00:00.000Z,,2025-05-10T15:11:47.993Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.41,141123797313,4,240996006782,3738861820.0,2.42,2.33,0.052989,2.24905,3263989053.0,2.36761,58550454873.0,99986154627.0,100000000000.0,3.4,-29.08367,2018-01-07T00:00:00.000Z,0.00268621,89619.68213,2014-05-22T00:00:00.000Z,,2025-05-10T15:11:48.688Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,651.36,95052126350,5,95052126350,1694257363.0,674.3,632.1,15.95,2.51002,2537139450.0,2.74241,145887575.79,145887575.79,200000000.0,788.84,-17.35933,2024-12-04T10:35:25.220Z,0.0398177,1637125.96479,2017-10-19T00:00:00.000Z,,2025-05-10T15:11:48.104Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,171.61,89048437240,6,103004215756,4786166924.0,174.51,169.18,1.86,1.09459,1227783009.0,1.39806,519014697.5407771,600355307.099189,,293.31,-41.50134,2025-01-19T11:15:27.957Z,0.500801,34161.81445,2020-05-11T19:35:23.449Z,,2025-05-10T15:11:47.074Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.99995,60756500931,7,60765264584,12619944163.0,1.0,0.9999,3.794e-05,0.00379,120894315.0,0.19938,60760687785.66739,60769452042.40985,,1.17,-14.73113,2019-05-08T00:40:28.300Z,0.877647,13.93575,2023-03-11T08:02:13.981Z,,2025-05-10T15:11:45.862Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.227678,33972384293,8,33974943705,2642825224.0,0.229497,0.201851,0.02373277,11.63684,3620722305.0,11.92924,149194276383.7052,149205516383.7052,,0.731578,-68.86282,2021-05-08T05:08:23.458Z,8.69e-05,262020.73858,2015-05-06T00:00:00.000Z,,2025-05-10T15:11:48.044Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.806516,29144907442,9,36381588242,1117273989.0,0.810656,0.773533,0.02246694,2.8655,1026171685.0,3.64942,36049026396.71529,45000000000.0,45000000000.0,3.09,-73.83082,2021-09-02T06:00:10.474Z,0.01925275,4095.86592,2020-03-13T02:22:55.044Z,,2025-05-10T15:11:48.138Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.259693,24655792986,10,24655823991,1163729561.0,0.264761,0.259371,-0.002947823369736813,-1.12238,-218405726.94030762,-0.87804,94910348562.86697,94910467913.88396,,0.431288,-39.73616,2024-12-04T00:10:40.323Z,0.00180434,14304.75073,2017-11-12T00:00:00.000Z,"{'times': 135.68060003013062, 'currency': 'usd', 'percentage': 13568.060003013063}",2025-05-10T15:11:48.143Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2432.57,22265567521,11,22265567521,42710985.0,2436.74,2284.86,120.66,5.21894,1047936910.0,4.93899,9142689.745698856,9142689.745698856,,4829.57,-49.59321,2021-11-10T14:40:47.256Z,482.9,404.13139,2020-12-22T04:08:21.854Z,,2025-05-10T15:11:45.089Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,103401.0,13331439135,12,13331439135,255931285.0,104091.0,102486.0,293.14,0.2843,74585799.0,0.56262,128814.95633878,128814.95633878,128814.95633878,108368.0,-4.53021,2025-01-20T07:16:27.137Z,3139.17,3195.72658,2019-04-02T00:00:00.000Z,,2025-05-10T15:11:49.937Z
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,3.96,13214030782,13,39582793150,1672366577.0,4.02,3.86,0.01209025,0.30656,77376734.0,0.58901,3338327017.911665,10000000000.0,10000000000.0,5.35,-25.96737,2025-01-04T22:56:18.063Z,0.364846,984.89633,2023-10-19T10:40:30.078Z,,2025-05-10T15:11:50.593Z
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,16.44,10813502912,14,16456404502,591936563.0,16.45,15.84,0.48113,3.01524,363177734.0,3.47528,657099970.4527868,1000000000.0,1000000000.0,52.7,-68.77503,2021-05-10T00:13:57.214Z,0.148183,11004.15729,2017-11-29T00:00:00.000Z,,2025-05-10T15:11:43.743Z
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,24.68,10333493913,15,11239578603,573907347.0,24.71,22.88,1.56,6.76653,688813356.0,7.1419,418198970.4696879,454868434.6427571,720000000.0,144.96,-82.95299,2021-11-21T14:18:56.538Z,2.8,782.21992,2020-12-31T13:15:21.540Z,,2025-05-10T15:11:47.363Z
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,2927.65,10088128920,16,10088128920,35488301.0,2928.56,2746.1,147.69,5.31252,554545366.0,5.81676,3445842.562142345,3445842.562142345,,7256.02,-59.6525,2022-05-13T15:09:54.509Z,558.54,424.15632,2022-05-13T01:36:45.053Z,,2025-05-10T15:11:46.162Z
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.305151,9476903313,17,15270377652,266782176.0,0.305598,0.293687,0.00836807,2.8196,291752684.0,3.17635,31031459119.58337,50001786892.81785,50001786892.81785,0.875563,-65.10032,2018-01-03T00:00:00.000Z,0.00047612,64078.46543,2015-03-05T00:00:00.000Z,,2025-05-10T15:11:48.060Z
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,1.581e-05,9322306620,18,9326331341,535967932.0,1.605e-05,1.479e-05,8.00411e-07,5.33402,475110087.0,5.37018,589249916266819.9,589504313244263.0,,8.616e-05,-81.60919,2021-10-28T03:54:55.568Z,5.6366e-11,28111152.20178,2020-11-28T11:26:25.838Z,,2025-05-10T15:11:44.833Z
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.209113,8836748951,19,10460455413,280155736.0,0.210605,0.197244,0.00907193,4.53504,394343196.0,4.67098,42238834745.80377,50000000000.0,50000000000.0,0.569229,-63.24888,2021-09-15T10:40:28.318Z,0.00986111,2021.44495,2020-01-02T17:30:24.852Z,,2025-05-10T15:11:47.608Z
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,25.14,8400693616,20,25156945106,165752993.0,25.68,24.31,0.04045836,0.16119,60220603.0,0.72203,333928180.0,999990391.0,1000000000.0,34.96,-28.08474,2024-12-22T03:56:00.276Z,3.81,560.08926,2024-11-29T09:30:30.871Z,,2025-05-10T15:11:48.552Z
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,3.36,8379302049,21,17261702144,229615108.0,3.42,3.23,0.096075,2.94686,285182717.0,3.52333,2489971852.396864,5129443026.508181,,8.25,-59.26353,2024-06-15T00:36:51.509Z,0.519364,547.37432,2021-09-21T00:33:11.092Z,,2025-05-10T15:11:50.801Z
